tag	karray	ϵs	psi
1	-0.15	-42.851966577464886	1
1	-0.149	-42.48512133643533	1
1	-0.148	-42.1194851456135	1
1	-0.147	-41.75505674679793	1
1	-0.146	-41.391836931782905	1
1	-0.145	-41.02982454723939	1
1	-0.144	-40.66902332522443	1
1	-0.143	-40.30943445963215	1
1	-0.142	-39.95106227704809	1
1	-0.141	-39.59390962803263	1
1	-0.14	-39.23798155561075	1
1	-0.139	-38.88328190424692	1
1	-0.138	-38.52981488773024	1
1	-0.137	-38.17758622445208	1
1	-0.136	-37.826599366836284	1
1	-0.135	-37.47686004169393	1
1	-0.134	-37.128372065682754	1
1	-0.133	-36.781137884066496	1
1	-0.132	-36.43515681770374	1
1	-0.131	-36.09041983110403	1
1	-0.13	-35.74684821992426	1
1	-0.129	-35.4021170190817	1
1	-0.128	-35.041503159858316	1
1	-0.127	-34.68292140048927	1
1	-0.126	-34.32856906723136	1
1	-0.125	-33.978577018632315	1
1	-0.124	-33.63301337493846	1
1	-0.123	-33.29193567691762	1
1	-0.122	-32.955402134119346	1
1	-0.121	-32.623452753833455	1
1	-0.12	-32.29614870577851	1
1	-0.119	-31.973537586375866	1
1	-0.118	-31.655663869529096	1
1	-0.117	-31.342571211608583	1
1	-0.116	-31.034283167371605	1
1	-0.115	-30.730717695156386	1
1	-0.114	-30.42806199708653	1
1	-0.113	-30.10915420454457	1
1	-0.112	-29.789781310612945	1
1	-0.111	-29.47165588358102	1
1	-0.11	-29.15486949980509	1
1	-0.109	-28.839448625576455	1
1	-0.108	-28.525402479840515	1
1	-0.107	-28.212739256147966	1
1	-0.106	-27.90146513666498	1
1	-0.105	-27.59158655798871	1
1	-0.104	-27.283107151162937	1
1	-0.103	-26.97603627311977	1
1	-0.102	-26.67037722643234	1
1	-0.101	-26.36613942786144	1
1	-0.1	-26.063327881984065	1
1	-0.099	-25.761953489335973	1
1	-0.098	-25.46202355502552	1
1	-0.097	-25.163551023692076	1
1	-0.096	-24.866549060871684	1
1	-0.095	-24.571034803662673	1
1	-0.094	-24.277026577384294	1
1	-0.093	-23.98455017516094	1
1	-0.092	-23.693635505068237	1
1	-0.091	-23.404322616471415	1
1	-0.09	-23.116664924441576	1
1	-0.089	-22.83073350569496	1
1	-0.088	-22.546627820716775	1
1	-0.087	-22.264487195309137	1
1	-0.086	-21.98451839179452	1
1	-0.085	-21.70703892706156	1
1	-0.084	-21.432558816829367	1
1	-0.083	-21.161935858105828	1
1	-0.082	-20.896696405987246	1
1	-0.081	-20.639707924756337	1
1	-0.08	-20.396401954900398	1
1	-0.079	-20.175933153329677	1
1	-0.078	-19.988435146718125	1
1	-0.077	-19.834626693900713	1
1	-0.076	-19.705981520540956	1
1	-0.075	-19.59412609072483	1
1	-0.074	-19.493892929571135	1
1	-0.073	-19.402408871027284	1
1	-0.072	-19.31795230248109	1
1	-0.071	-19.238827635285322	1
1	-0.07	-19.049821939171387	1
1	-0.069	-18.775567037679078	1
1	-0.068	-18.502117577424567	1
1	-0.067	-18.229900857666586	1
1	-0.066	-17.95903804741649	1
1	-0.065	-17.689645895845423	1
1	-0.064	-17.421884105034195	1
1	-0.063	-17.155996607127776	1
1	-0.062	-16.892383434247893	1
1	-0.061	-16.63177096985557	1
1	-0.06	-16.37559105500082	1
1	-0.059	-16.127067909458436	1
1	-0.058	-15.894491111467516	1
1	-0.057	-15.699807128620318	1
1	-0.056	-15.577007311794672	1
1	-0.055	-15.518882450684563	1
1	-0.054	-15.491846230730733	1
1	-0.053	-15.476803888211393	1
1	-0.052	-15.357816212347325	1
1	-0.051	-15.089221262875627	1
1	-0.05	-14.818833810633983	1
1	-0.049	-14.549515581017888	1
1	-0.048	-14.281801658146566	1
1	-0.047	-14.016200542893106	1
1	-0.046	-13.753569895885649	1
1	-0.045	-13.495756616622709	1
1	-0.044	-13.247760914384601	1
1	-0.043	-13.026809297052742	1
1	-0.042	-12.886553238962335	1
1	-0.041	-12.850311571702434	1
1	-0.04	-12.854860457140282	1
1	-0.039	-12.81633332796382	1
1	-0.038	-12.57506574991281	1
1	-0.037	-12.309280351156485	1
1	-0.036	-12.043352274801075	1
1	-0.035	-11.779479346901228	1
1	-0.034	-11.518966831475476	1
1	-0.033	-11.264134602044141	1
1	-0.032	-11.022268568166727	1
1	-0.031	-10.827939764248432	1
1	-0.03	-10.763627038884312	1
1	-0.029	-10.774784591216054	1
1	-0.028	-10.79277093962642	1
1	-0.027	-10.724573727083278	1
