x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41
-0.10181816722009387,-0.10176735141447428,-0.10045959307048699,-0.09764171042754499,-0.09266320147548261,-0.08611028755744912,-0.08172901854601246,-0.07952990819282114,-0.07977209012973561,-0.08254177666608205,-0.0832458012837376,-0.08825596335705677,-0.08717939257435285,-0.07736863045433051,-0.056061516025741435,-0.04018367958885214,-0.016357276602926612,-0.02372912240938622,-0.033260110165013464,-0.031438345684975916,-0.031758850762231665,-0.029644574375827192,-0.026609155949542603,-0.020512457467499728,-0.01603299703332732,-0.02461068028584762,-0.06786090980044518,-0.11502797527099945,-0.1601566225297928,-0.19303155214139422,-0.22345552163968713,-0.2370612632087185,-0.2609293089255546,-0.2717983715367521,-0.2748149260377077,-0.2881347149979596,-0.30103839317182857,-0.312274180807545,-0.3232882874361153,-0.33301695216166477,-0.34250943423871816
-0.10181816721996956,-0.10147416473044014,-0.09843183424512565,-0.09715590830493612,-0.09121558019199914,-0.08272630398864977,-0.07500525858187719,-0.069918723143418,-0.06797622678173794,-0.07020657590873845,-0.07833063785145233,-0.0875050500021413,-0.08363441097891704,-0.07735854686971895,-0.05578943838105662,-0.039049375750728026,-0.015680917804810502,-0.023707064151513312,-0.03285016502242677,-0.031181184280173933,-0.030241753667408333,-0.026379428626141142,-0.026022062061234075,-0.0199633436905842,-0.014540267252790813,-0.024533849780068385,-0.06784586662006194,-0.11499834980481735,-0.16014630042833497,-0.19262278277304384,-0.223415629191724,-0.23688913654260602,-0.2609105259555352,-0.2717978129412455,-0.27477902431275475,-0.2881236163265015,-0.30103495508591954,-0.31227286208205385,-0.3232876490665003,-0.3330167324737724,-0.342509243665975
-0.09840151369852139,-0.09850570590600309,-0.09564226308645815,-0.08371914317882703,-0.07044898100047113,-0.0622489806918849,-0.06075232015504158,-0.060468966204911614,-0.059490473003832506,-0.0660005848880366,-0.06986029522175925,-0.061964609072291746,-0.07531688692757676,-0.07330289883601807,-0.049646864010787516,-0.027032031420138304,-0.014992190506501758,-0.02274724768198528,-0.024638816037958318,-0.026323836214117855,-0.025048419362747112,-0.022548160049070867,-0.02254827069827738,-0.01715301603768211,-0.013388496533749367,-0.024404427868086404,-0.06741657762026312,-0.11407166779780932,-0.15705648959521168,-0.1904282697206075,-0.20472747338517594,-0.23292920999500943,-0.2383860220131005,-0.2572886885304095,-0.2730595936289141,-0.28652897864739957,-0.293283572752323,-0.2988752164022467,-0.3132666763892332,-0.30908162899290686,-0.2838430052692677
-0.09840151369821121,-0.09787678558961208,-0.094885979724778,-0.08044766452599154,-0.06786301009358045,-0.06165797555616533,-0.060405133360121155,-0.05886610884214824,-0.05873327487529954,-0.057258235819228905,-0.06356658466547725,-0.06183351351976585,-0.0745794461525844,-0.07197882232433787,-0.04954951525448017,-0.026996420268305992,-0.014986332917421618,-0.022711875423426703,-0.024210473256327865,-0.026225924711737344,-0.02501914267520599,-0.02250867253216946,-0.0220897645117927,-0.017136923657678417,-0.011810762093412829,-0.024317030175944214,-0.06739254879793101,-0.11401013358922321,-0.15699083149540086,-0.1902379441144888,-0.20451642350695964,-0.2323414135083342,-0.23756719656674702,-0.25711001134849687,-0.27301630217580564,-0.28651625811532944,-0.29328074524922243,-0.2988748822905799,-0.3132662786407097,-0.3090815406949305,-0.28384300286954
-0.06178846228095306,-0.06185521130814335,-0.06190930472229163,-0.06195349172502141,-0.06181271482724486,-0.059448705869843015,-0.05864489252144312,-0.058743228635413335,-0.058014959460611165,-0.05620716539471935,-0.05733675068230419,-0.06113776550447905,-0.05522773265556753,-0.056423252442112076,-0.04799053370882832,-0.025377759672621517,-0.014765490576072396,-0.021647453710283027,-0.0171513244090847,-0.022825145808262306,-0.022344312895737475,-0.016850997395350654,-0.01688664025112912,-0.015697928168380493,-0.011196029918781632,-0.020551855558737765,-0.06571683099725101,-0.11303915488719304,-0.13512273335859495,-0.16963337011130092,-0.1832823644638431,-0.21154080779697892,-0.23714693209052967,-0.25651313388869645,-0.25931295106194313,-0.2647911721994126,-0.28174773400448866,-0.2713467762943637,-0.25306511803456655,-0.2651918321740248,-0.2837888406285736
-0.061788462280625296,-0.061640102078814984,-0.061310457967313506,-0.060706376146982224,-0.05984341892221443,-0.05900221109668993,-0.05810093010125534,-0.055214999073785694,-0.056844174988962125,-0.05598997875355757,-0.056760594549651204,-0.060978142908426014,-0.05349977495466541,-0.05501529018536375,-0.04794440482521743,-0.02532846871036134,-0.014538491715755792,-0.021548540781958697,-0.015909562008364558,-0.022811108625211948,-0.02232702915426448,-0.016685494512435346,-0.016879450007550745,-0.01563583998951198,-0.011139218982914156,-0.02051325477564884,-0.06571268276688916,-0.11303189220932645,-0.1350206502086115,-0.1695255599775856,-0.1819995956367284,-0.20958511902086524,-0.2362857470372763,-0.25633175153747123,-0.2593090913483844,-0.2647911048841184,-0.28174750543661176,-0.2713466677708829,-0.25306511319458935,-0.26519183127923396,-0.28378882943145667
-0.059810313169244685,-0.05986363687815308,-0.059819938466861504,-0.059776319455625906,-0.059742034216908615,-0.05893517518963771,-0.05188209241499974,-0.05300602381087593,-0.054459959564729196,-0.055505859900880763,-0.05133838561781347,-0.054064648802098436,-0.04952869673642873,-0.04943675968035345,-0.047908684515613684,-0.020369682449404444,-0.010209979254551874,-0.019354482164994455,-0.015362231654201313,-0.01953713079875654,-0.01803435417753497,-0.01625166709591261,-0.016719858696669743,-0.015064209054865095,-0.010038567792996665,-0.02035225799538732,-0.06568613475707774,-0.11298638324425618,-0.13201253406717128,-0.14704143378473908,-0.17807555403726974,-0.20821588879526684,-0.20931206301106753,-0.22244662348440353,-0.23655790314263053,-0.22573709170953243,-0.20359848896245294,-0.22173972799466765,-0.23341066921990847,-0.21507093217324036,-0.2064898491347644
-0.05981031316914334,-0.05955135685086328,-0.05897666290989106,-0.05791641308469542,-0.05574476864058468,-0.05167279666325846,-0.050294530423617666,-0.04625517212352325,-0.04181643580559515,-0.051202148293242405,-0.05034457803493752,-0.0511594780273723,-0.04651359106463256,-0.04919135779823297,-0.0478960167841377,-0.020192325389773277,-0.010104894994869482,-0.018789032260029308,-0.014868826456857751,-0.019224060904772557,-0.017979951368224816,-0.01624480266644695,-0.016478606334035868,-0.01504334975500891,-0.009559866073262962,-0.020243573291558802,-0.06568261227535119,-0.11298399077755478,-0.13099014067124892,-0.14642611774095243,-0.17726336112143407,-0.20662180391769897,-0.2092833556471048,-0.22244560155343943,-0.23655668668313637,-0.22573681799482018,-0.20359848667511485,-0.2217397222214297,-0.23341065626942775,-0.21507092740470427,-0.2064898489142233
-0.041291528166040564,-0.0413019619996053,-0.04102355677941835,-0.040340036502632515,-0.03953895928859921,-0.03947167488177781,-0.040061937727646185,-0.04117375520426503,-0.04174363835508944,-0.04067204172324699,-0.048384367524653346,-0.05112955751663079,-0.04421213418924029,-0.0413832921798616,-0.04518816552785933,-0.01837551145220632,-0.009873804314125536,-0.015600286540717614,-0.013956626690593943,-0.014357673680306174,-0.01480377959422292,-0.015779186924571895,-0.009941374450160596,-0.007468280453694962,-0.007702099951974032,-0.018275372860846097,-0.04862095848264586,-0.0904584497536951,-0.12876212702059717,-0.14085687326009666,-0.1714783654546581,-0.1896463160827729,-0.2053537228545006,-0.18956674490860254,-0.17734067387436764,-0.18649542126794763,-0.20312435369584542,-0.18184408413603878,-0.17411884899659175,-0.18793654854506606,-0.19132177362624458
-0.04129152816446985,-0.04102488267940801,-0.04044011076805069,-0.039902334504091246,-0.03906864272164155,-0.03717866436673567,-0.03548485120892759,-0.036177905640121515,-0.04032798100380271,-0.03860026048271056,-0.045982126721121355,-0.04836920436609687,-0.04419783499255227,-0.04133360607769591,-0.041804277054174756,-0.01728561594073499,-0.00985202291704516,-0.014220451904512954,-0.01394004931919166,-0.014033420775882412,-0.01412236851896508,-0.01577202449753727,-0.008824087982828313,-0.007460210704468587,-0.007373796834557511,-0.018257486780184684,-0.04852749837593438,-0.09038577777551228,-0.12753781358597394,-0.1392891417702914,-0.17113821460538786,-0.18964622937724215,-0.20535275852094925,-0.18956584958601028,-0.17734062567744205,-0.1864954210360609,-0.20312431432282496,-0.18184407686371348,-0.17411884855090265,-0.1879365484805267,-0.19132177224157768
