x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41
-0.34241882611037366,-0.26843247939406706,-0.27459468868840886,-0.256549340707739,-0.22803386524832728,-0.23670311110748316,-0.21511342130554442,-0.23202353684619767,-0.21959389157119977,-0.17864453900943753,-0.15248583711383779,-0.1867201121942429,-0.19150233993823887,-0.17357447287433217,-0.17037087394936185,-0.14788165960292105,-0.1667264837482945,-0.16790872441584245,-0.17883964133751326,-0.17450899565927996,-0.16635997976611477,-0.15664409174045604,-0.14774529901726605,-0.1424237896228053,-0.131908373504164,-0.13891136142980148,-0.12049923541864205,-0.12828553680997354,-0.11239793790175641,-0.07917404386045224,-0.08084231801919345,-0.09411307080526828,-0.1035264396656421,-0.0817349095853591,-0.07006184008017478,-0.11055651158146337,-0.05005143664013192,-0.05683684315976866,-0.08140131242674806,-0.06244006072150721,-0.05860569409230735
-0.34115112875591264,-0.2650293446528936,-0.27396197852510584,-0.25643909180946,-0.22577067948442958,-0.23458937679566072,-0.2141068415403244,-0.23176988205919558,-0.21869299920566912,-0.17760477501479574,-0.15126499326239537,-0.18597276023856082,-0.18952391300380178,-0.17330235303873548,-0.17021276046153133,-0.14520166462742784,-0.1611261783852326,-0.1672404259149455,-0.17851882461992843,-0.17353717138462058,-0.16566101765549568,-0.15573495656393468,-0.14701468186982236,-0.14147228095589137,-0.12679529440050877,-0.12197882414832091,-0.11895926398657357,-0.11877110929961139,-0.10004344227017865,-0.07285834697365513,-0.07641787433745592,-0.08928957523039706,-0.08777798147938888,-0.07830569263504385,-0.06927135221996092,-0.11015631906929314,-0.045013646316726205,-0.056000415896626056,-0.07965321108434893,-0.05118563574362024,-0.05516722047037255
-0.3000347303337493,-0.25517771944790263,-0.2528512617784603,-0.25207409012201376,-0.19796484292909994,-0.22744495521401917,-0.19957042390340968,-0.21335825835802824,-0.2160338057438303,-0.16446001539704141,-0.11329902684058145,-0.16698012735960563,-0.16721934671765323,-0.16256350015450327,-0.14932981151119565,-0.10842073999169695,-0.15857743788918055,-0.1526592540711406,-0.15686356909568328,-0.1521561836614858,-0.10226457662166885,-0.15395027295161118,-0.14483570233567228,-0.1345801203044599,-0.12273603250024748,-0.10337637820167066,-0.10492570048506569,-0.0757709672359313,-0.07346597265108074,-0.048074913243675056,-0.06879519347344165,-0.08202270685663576,-0.08475927818055023,-0.0709538701102949,-0.04905360737778691,-0.08705290082619967,-0.026472843490225936,-0.027440623424523757,-0.07320696185789564,-0.04369335446293938,-0.05193750916210907
-0.2983102340920378,-0.2547830145551542,-0.2516625786611048,-0.2507543556314385,-0.19774347640704978,-0.22558560713085904,-0.19931377877454753,-0.21310968979006556,-0.21347807881465738,-0.16437781780661279,-0.11280740993465099,-0.16664464370754847,-0.1662469408561992,-0.15898946261624017,-0.14656383286345834,-0.10835568064961822,-0.1579871389479607,-0.1484690062382257,-0.1531714400280012,-0.1517525028248889,-0.1021447752429487,-0.149385575913352,-0.14402785929299405,-0.13239577943269187,-0.12076793866880017,-0.09610850282278972,-0.10050644547201652,-0.0694912614353006,-0.07185541622107379,-0.04724295988624014,-0.06646736787000446,-0.08200144419200915,-0.06992054063847114,-0.06669579142455796,-0.04812405396909103,-0.08128720242253203,-0.026233392836074423,-0.024458375428418548,-0.0680386394534195,-0.0325408934331564,-0.048394275162322094
-0.28924110035916945,-0.25148745888331264,-0.24087986165570532,-0.21993465260976133,-0.054316242360178686,-0.21341359733926907,-0.1913092905889186,-0.20625059961746883,-0.1900926139583947,-0.020775297075575228,-0.0910022798150599,-0.14556235720158048,-0.16195756575175027,-0.10685540460092308,-0.05218873444431989,-0.04603532321309156,-0.0907874695317362,-0.08777821165401183,-0.12851768441321643,-0.05489297168183833,-0.055662682126806806,-0.0914622662699798,-0.027921003159814054,-0.10736793111381328,-0.08738068973699432,-0.0793370852321579,-0.09625052557514192,-0.053624966566052916,-0.0393667641595714,-0.02712696732482303,-0.05684348561995063,-0.05074073948210882,-0.04546145692358565,-0.052590730139006184,-0.03285195417159971,-0.05905403025619753,-0.019650283975150604,-0.020042475354024362,-0.04731596524964288,-0.02644640997167354,-0.031146191244304042
-0.2871160047854972,-0.25001231484421327,-0.23960333728664646,-0.21793419790390017,-0.05428482397090897,-0.21292109255814406,-0.19058110735778347,-0.20511495039643565,-0.1895905588114674,-0.02074550476394861,-0.0907027482195024,-0.14328288590855304,-0.1611906293430648,-0.10673825865575391,-0.052045968399811134,-0.04603424183483979,-0.09071429850114993,-0.0875263092188502,-0.12665197640987177,-0.05484834387722583,-0.05563692931312077,-0.09125208981246158,-0.027759984376886728,-0.10575479999359666,-0.08378916623188448,-0.0783811066169669,-0.09436960129592163,-0.04793335240500788,-0.027474408435811348,-0.02407112115251209,-0.0414360215319168,-0.045911190081583154,-0.04202015259098669,-0.045800347226677765,-0.023726558390204485,-0.05191982262990128,-0.01926661934094462,-0.017598068658050404,-0.04176619176934019,-0.023853456415165196,-0.02968235451330199
-0.00038619103485750596,-0.0004740052165202674,-0.00029857174400543964,-0.00042174076736876357,-0.0001001826386073713,-0.0003364422054909509,-0.0003431115905912227,-6.247933516491749e-5,-0.0001460685366907226,-0.0001544179880479065,-9.521994160675328e-6,-0.0001397612952352452,-0.00017496986102787394,-0.00013854543913017705,-0.00029124485431435636,-8.432704236732359e-5,-7.660564066928549e-5,-3.290695372607454e-5,-0.0002044561454185836,-4.531456380492872e-5,-0.00015300257897028102,-7.729003148357725e-5,-0.00015057579661526246,-0.00021964860904585327,-0.0012378458025693439,-0.0013274536862681562,-0.0005068804907916056,-0.004030630979817734,-0.0053540025193683834,-0.0021844877398241266,-0.00694573915434749,-0.007522681275687062,-0.0030578391611232733,-0.01014728779244811,-0.009115382430204393,-0.030708223042462582,-0.0015371896072456038,-0.004138134559946743,-0.018068629463247346,-0.005458242232522084,-0.009269665274968168
-0.0003646151907909306,-0.00043748702363982184,-0.00025155106477122796,-0.00036877052404939295,-6.526592564010275e-5,-0.000250059682187857,-0.00022506302451808278,-3.439329575074071e-5,-9.326113981536663e-5,-0.0001100508905023849,-2.9543907750301685e-6,-8.082369956473803e-6,-9.650508637781224e-5,-0.00010271705030838356,-7.243479540425352e-5,-7.604353290420724e-5,-2.8718614480337166e-5,-2.1861387689394354e-5,-1.5871020967237872e-5,-2.447039563340249e-5,-0.0001335478372241585,-2.8716161848143337e-6,-8.189873433445753e-5,-0.00011941825807830298,-4.713366584782224e-5,-0.0006905421059144951,-0.0003672254249413903,-0.0012275507620543072,-0.002340367562866272,-0.0010751026288616094,-0.003643527277050659,-0.002205282663507342,-0.00026350531702852673,-0.006770259195135909,-0.004466665143030607,-0.02891864366537488,-0.00019538486394177218,-0.0010513391412318536,-0.015127446161375131,-0.00017587012294765944,-0.005450890080062614
0.00036461519143875427,0.0004374870236398122,0.0002515510647711947,0.00036877052404937744,6.526592564007821e-5,0.0002500596821878878,0.00022506302451807568,3.439329575077826e-5,9.326113981535587e-5,0.00011005089050240998,2.9543907750204047e-6,8.08236995642483e-6,9.650508637779115e-5,0.00010271705030837716,7.243479540428132e-5,7.604353290417594e-5,2.871861448035686e-5,2.1861387689407436e-5,1.5871020967241247e-5,2.4470395633431474e-5,0.0001335478372241703,2.871616184806769e-6,8.189873433448683e-5,0.00011941825807834617,4.713366584784447e-5,0.0006905421059145106,0.0003672254249413656,0.0012275507620543072,0.0023403675628662487,0.0010751026288616423,0.0036435272770506608,0.002205282663507363,0.00026350531702854624,0.006770259195135901,0.004466665143030576,0.028918643665374992,0.00019538486394176557,0.0010513391412318484,0.015127446161375105,0.0001758701229476798,0.005450890080062603
0.0003861910358870395,0.0004740052165202621,0.00029857174400545476,0.0004217407673687588,0.00010018263860735051,0.0003364422054909728,0.0003431115905911603,6.247933516491969e-5,0.00014606853669074681,0.00015441798804789335,9.52199416062418e-6,0.00013976129523524892,0.0001749698610278499,0.0001385454391301769,0.0002912448543143594,8.432704236730845e-5,7.660564066930597e-5,3.290695372607186e-5,0.00020445614541858036,4.531456380494951e-5,0.0001530025789702336,7.729003148362926e-5,0.00015057579661520144,0.00021964860904585292,0.0012378458025693608,0.0013274536862681718,0.0005068804907915901,0.0040306309798177516,0.005354002519368348,0.0021844877398241006,0.006945739154347497,0.007522681275687083,0.003057839161123261,0.010147287792448126,0.009115382430204405,0.030708223042462422,0.0015371896072456151,0.00413813455994677,0.01806862946324735,0.005458242232522074,0.009269665274968149
